url,Name,Name_link,,Team,Pos,G,Ab,R,H,2b,3b,Hr,Rbi,Tb,Bb,So,Sb,Cs,Obp,Slg,Avg,Ops
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,A.J. Reed,http://www.milb.com/player/index.jsp?sid=t476&player_id=607223,607223,LAN,1B,82,318,75,110,16,4,23,81,203,59,73,0,0,0.449,0.638,0.346,1.088
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Eric Aguilera,http://www.milb.com/player/index.jsp?sid=t476&player_id=643192,643192,IE,1B,119,462,79,151,38,3,17,94,246,47,110,14,6,0.392,0.532,0.327,0.925
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,James Ramsay,http://www.milb.com/player/index.jsp?sid=t476&player_id=595369,595369,LAN,CF,127,497,88,160,32,4,10,64,230,52,86,16,12,0.384,0.463,0.322,0.847
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Jamie Westbrook,http://www.milb.com/player/index.jsp?sid=t476&player_id=642197,642197,VIS,2B,123,480,75,153,33,4,17,72,245,24,69,14,4,0.357,0.51,0.319,0.867
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Royce Bolinger,http://www.milb.com/player/index.jsp?sid=t476&player_id=542951,542951,HD,OF,98,400,70,126,34,1,16,77,210,23,107,0,0,0.358,0.525,0.315,0.883
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Raimel Tapia,http://www.milb.com/player/index.jsp?sid=t476&player_id=606132,606132,MOD,LF,131,544,74,166,34,9,12,71,254,24,105,26,10,0.333,0.467,0.305,0.8
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Christian Arroyo,http://www.milb.com/player/index.jsp?sid=t476&player_id=624414,624414,SJ,SS,90,381,48,116,28,2,9,42,175,19,73,5,3,0.344,0.459,0.304,0.803
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Ryan McMahon,http://www.milb.com/player/index.jsp?sid=t476&player_id=641857,641857,MOD,3B,132,496,85,149,43,6,18,75,258,49,153,6,13,0.372,0.52,0.3,0.892
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Joe Jackson,http://www.milb.com/player/index.jsp?sid=t476&player_id=595261,595261,HD,OF,110,426,67,127,33,2,10,78,194,46,97,5,1,0.366,0.455,0.298,0.821
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Mike Fish,http://www.milb.com/player/index.jsp?sid=t476&player_id=643304,643304,IE,LF,88,350,46,104,15,1,2,34,127,30,64,5,4,0.35,0.363,0.297,0.713
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Paul Hoenecke,http://www.milb.com/player/index.jsp?sid=t476&player_id=543320,543320,RC,C,107,393,48,116,33,2,9,63,180,23,76,2,0,0.334,0.458,0.295,0.792
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,J.D. Davis,http://www.milb.com/player/index.jsp?sid=t476&player_id=605204,605204,LAN,3B,120,485,93,140,28,3,26,101,252,54,157,5,2,0.37,0.52,0.289,0.889
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Ronnie Mitchell,http://www.milb.com/player/index.jsp?sid=t476&player_id=643459,643459,LAN,LF,111,405,57,116,27,11,12,72,201,45,89,3,3,0.356,0.496,0.286,0.852
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Brett Vertigan,http://www.milb.com/player/index.jsp?sid=t476&player_id=622211,622211,STK,CF,111,454,80,130,23,7,4,48,179,47,76,24,8,0.352,0.394,0.286,0.746
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Daniel Palka,http://www.milb.com/player/index.jsp?sid=t476&player_id=594953,594953,VIS,OF,129,511,95,143,36,3,29,90,272,56,164,24,7,0.352,0.532,0.28,0.885
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Chase McDonald,http://www.milb.com/player/index.jsp?sid=t476&player_id=643439,643439,LAN,1B,105,390,66,109,30,1,30,80,231,45,117,2,1,0.358,0.592,0.279,0.95
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,B.J. Boyd,http://www.milb.com/player/index.jsp?sid=t476&player_id=622196,622196,STK,LF,132,458,67,127,20,8,5,52,178,41,89,18,5,0.344,0.389,0.277,0.733
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Ronald Guzman,http://www.milb.com/player/index.jsp?sid=t476&player_id=608597,608597,HD,1B,107,422,54,117,25,7,9,73,183,27,101,3,0,0.319,0.434,0.277,0.752
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Bo Way,http://www.milb.com/player/index.jsp?sid=t476&player_id=657444,657444,IE,CF,135,520,80,144,25,9,2,52,193,49,90,27,19,0.349,0.371,0.277,0.72
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Tim Lopes,http://www.milb.com/player/index.jsp?sid=t476&player_id=621005,621005,BAK,2B,123,478,69,132,27,4,2,49,173,41,96,35,18,0.34,0.362,0.276,0.702
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,John Nogowski,http://www.milb.com/player/index.jsp?sid=t476&player_id=596056,596056,STK,1B,96,354,45,97,20,0,4,45,129,39,47,1,1,0.352,0.364,0.274,0.716
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Breland Almadova,http://www.milb.com/player/index.jsp?sid=t476&player_id=623316,623316,VIS,CF,105,381,60,104,21,3,4,43,143,40,80,25,10,0.348,0.375,0.273,0.723
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Auston Bousfield,http://www.milb.com/player/index.jsp?sid=t476&player_id=595890,595890,LE,CF,102,400,53,109,12,2,3,32,134,50,79,22,6,0.361,0.335,0.273,0.696
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Kevin Cron,http://www.milb.com/player/index.jsp?sid=t476&player_id=605196,605196,VIS,1B,127,518,71,141,34,0,27,97,256,28,131,0,0,0.314,0.494,0.272,0.808
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Ryder Jones,http://www.milb.com/player/index.jsp?sid=t476&player_id=624507,624507,SJ,3B,105,406,49,109,29,2,6,47,160,16,80,2,2,0.296,0.394,0.268,0.69
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Cody Bellinger,http://www.milb.com/player/index.jsp?sid=t476&player_id=641355,641355,RC,1B,128,478,97,126,33,4,30,103,257,52,150,10,2,0.336,0.538,0.264,0.873
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Tyler Ogle,http://www.milb.com/player/index.jsp?sid=t476&player_id=607365,607365,RC,C,111,384,63,101,20,1,20,75,183,51,89,0,3,0.352,0.477,0.263,0.829
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Derek Fisher,http://www.milb.com/player/index.jsp?sid=t476&player_id=605233,605233,LAN,LF,84,344,74,90,10,7,16,63,162,47,95,23,5,0.354,0.471,0.262,0.825
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_bat&lid=110&sid=t476&print=true,Tyler O'Neill,http://www.milb.com/player/index.jsp?sid=t476&player_id=641933,641933,BAK,LF,106,407,68,106,21,2,32,87,227,29,137,16,5,0.316,0.558,0.26,0.874
