url,Datacell 1,Datacell 2,Datacell 2_link,Datacell 3,Datacell 4,Datacell 5,Datacell 6,Datacell 7,Datacell 8,Datacell 9,Datacell 10,Datacell 11,Datacell 12,Datacell 13,Datacell 14,Datacell 15,Datacell 16,Datacell 17,Currsortdatacell,Datacell 18
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_tba&lid=110&sid=t476&print=true,Lancaster,Lancaster,http://www.milb.com/clubs/index.jsp?cid=t491,140,5013,917,1512,346,45,174,840,2470,511,904,48,36,0.373,0.493,0.302,0.865
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_tba&lid=110&sid=t476&print=true,High Desert,,,140,5106,918,1536,340,36,203,850,2557,508,1050,77,34,0.367,0.501,0.301,0.868
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_tba&lid=110&sid=t476&print=true,San Jose,San Jose,http://www.milb.com/clubs/index.jsp?cid=t476,140,4848,813,1430,292,44,143,747,2239,450,1035,96,65,0.361,0.462,0.295,0.823
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_tba&lid=110&sid=t476&print=true,Lake Elsinore,Lake Elsinore,http://www.milb.com/clubs/index.jsp?cid=t103,138,4926,798,1407,277,47,125,736,2153,541,1018,95,52,0.362,0.437,0.286,0.799
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_tba&lid=110&sid=t476&print=true,Visalia,Visalia,http://www.milb.com/clubs/index.jsp?cid=t516,140,4828,717,1375,283,29,114,663,2058,469,1039,112,67,0.354,0.426,0.285,0.78
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_tba&lid=110&sid=t476&print=true,Inland Empire,Inland Empire,http://www.milb.com/clubs/index.jsp?cid=t401,140,5004,753,1412,282,45,116,691,2132,451,1042,104,55,0.346,0.426,0.282,0.772
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_tba&lid=110&sid=t476&print=true,Modesto,Modesto,http://www.milb.com/clubs/index.jsp?cid=t515,139,4792,793,1347,312,56,120,739,2131,504,1157,42,50,0.355,0.445,0.281,0.8
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_tba&lid=110&sid=t476&print=true,Stockton,Stockton,http://www.milb.com/clubs/index.jsp?cid=t524,140,4835,835,1355,318,38,153,772,2208,629,1042,60,42,0.368,0.457,0.28,0.825
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_tba&lid=110&sid=t476&print=true,Rancho Cucamonga,Rancho Cucamonga,http://www.milb.com/clubs/index.jsp?cid=t526,139,4916,750,1352,297,40,150,683,2179,392,1086,77,50,0.336,0.443,0.275,0.779
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_tba&lid=110&sid=t476&print=true,Bakersfield,,,140,4830,728,1325,269,39,125,671,2047,452,1025,106,45,0.347,0.424,0.274,0.771
