url,Datacell 1,Datacell 2,Datacell 2_link,Datacell 3,Datacell 4,Datacell 5,Datacell 6,Datacell 7,Datacell 8,Datacell 9,Datacell 10,Datacell 11,Datacell 12,Datacell 13,Datacell 14,Datacell 15,Datacell 16,Currsortdatacell,Datacell 17
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_tba&lid=110&sid=t476&print=true,Lancaster,Lancaster,http://www.milb.com/clubs/index.jsp?cid=t491,4823,976,1395,296,57,153,897,2264,669,957,140,63,0.384,0.469,0.289,0.853
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_tba&lid=110&sid=t476&print=true,High Desert,,,4850,827,1329,285,56,154,763,2188,503,1066,144,56,0.346,0.451,0.274,0.798
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_tba&lid=110&sid=t476&print=true,Inland Empire,Inland Empire,http://www.milb.com/clubs/index.jsp?cid=t401,4839,675,1308,254,58,106,625,1996,416,1089,92,43,0.334,0.412,0.27,0.746
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_tba&lid=110&sid=t476&print=true,Lake Elsinore,Lake Elsinore,http://www.milb.com/clubs/index.jsp?cid=t103,4820,718,1286,257,72,96,658,1975,487,1082,201,67,0.34,0.41,0.267,0.749
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_tba&lid=110&sid=t476&print=true,Visalia,Visalia,http://www.milb.com/clubs/index.jsp?cid=t516,4754,704,1265,261,28,110,639,1912,522,1172,89,36,0.343,0.402,0.266,0.745
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_tba&lid=110&sid=t476&print=true,Rancho Cucamonga,Rancho Cucamonga,http://www.milb.com/clubs/index.jsp?cid=t526,4759,728,1245,245,73,145,674,2071,441,1208,185,81,0.333,0.435,0.262,0.768
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_tba&lid=110&sid=t476&print=true,San Jose,San Jose,http://www.milb.com/clubs/index.jsp?cid=t476,4836,690,1251,280,37,116,633,1953,460,1142,98,48,0.331,0.404,0.259,0.735
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_tba&lid=110&sid=t476&print=true,Bakersfield,,,4780,635,1229,254,35,136,596,1961,396,1104,142,75,0.319,0.41,0.257,0.73
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_tba&lid=110&sid=t476&print=true,Modesto,Modesto,http://www.milb.com/clubs/index.jsp?cid=t515,4839,695,1221,275,46,124,630,1960,429,1372,135,48,0.321,0.405,0.252,0.726
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_tba&lid=110&sid=t476&print=true,Stockton,Stockton,http://www.milb.com/clubs/index.jsp?cid=t524,4894,731,1207,272,31,183,698,2090,497,1319,96,33,0.326,0.427,0.247,0.753
